호선명	자치구	지하철역	07시-08시	08시-09시	09시-10시	10시-11시	11시-12시	12시-13시	13시-14시	14시-15시	15시-16시	16시-17시	17시-18시	18시-19시	19시-20시	20시-21시	21시-22시	22시-23시	23시-24시
2호선	중구	동대문역사문화공원	31213	58677	37742	31776	35527	34304	36762	39306	42772	46318	52760	60294	45350	30073	28727	24505	9560
2호선	성동구	뚝섬	54665	160822	103196	47435	40629	46004	53251	54418	57837	69020	96033	168070	89331	50389	48672	42129	8544
2호선	영등포구	문래	78586	169703	80147	39052	34813	39808	42345	41242	44911	54109	85150	159253	73954	42453	43282	43455	10111
2호선	서초구	방배	51803	105358	70576	39773	35231	38187	42314	43527	44696	55213	72308	106263	54346	36031	36312	37194	9410
2호선	관악구	봉천	93503	146805	88624	55028	48506	52049	54905	51875	59508	66086	81054	118609	90130	57693	54188	55883	20271
2호선	동작구	사당	109247	162802	115566	78598	78149	84546	88196	87693	96765	118721	161882	236399	158164	106127	116578	125247	33150
2호선	강남구	삼성	133876	339323	238911	108249	93649	92692	109913	109371	116303	131757	217611	333829	172912	113186	98199	76976	11380
2호선	성동구	상왕십리	50880	95392	51108	31823	28577	32189	32377	31705	35241	38613	53439	76924	50579	31389	30320	30637	9936
2호선	관악구	서울대입구	153965	246153	172886	108157	96582	104885	111158	109545	120406	137623	177014	258249	192671	122878	122809	137050	41751
2호선	서초구	서초	63957	145687	110103	53582	48579	42887	52477	51085	53679	59723	88431	125287	57104	34839	35257	30172	6820
2호선	강남구	선릉	125120	299415	232386	120692	103092	101306	117968	121842	130372	155534	214509	334218	165493	99637	102434	94968	16925
2호선	성동구	성수	97696	295139	161752	64744	54749	60233	69375	70082	75187	87559	140807	275991	130367	71604	74217	60339	13675
2호선	중구	시청	69051	208633	86614	34742	36670	35641	40725	43615	46683	47638	90453	180225	58762	38096	37583	27822	3957
2호선	성동구	신답	7445	11226	4972	3158	3057	3076	3184	3200	4006	4555	5914	11271	7852	3641	3872	3714	1609
2호선	중구	신당	44549	77909	47191	34699	33652	35998	38874	38918	41129	47323	57790	76025	50164	32561	31411	32391	10542
2호선	동작구	신대방	105811	160066	96776	57691	50169	54007	56119	54989	64397	72902	95726	135239	102554	66061	67166	71723	27760
2호선	구로구	신도림	170682	242845	148082	111224	104825	116764	120868	116668	126892	145759	189988	290550	190442	123270	126991	131589	39817
2호선	관악구	신림	234333	368074	225882	131368	116635	128591	132071	129802	145691	167724	222794	329416	265145	168842	165722	181144	68628
2호선	동대문구	신설동	9431	19577	11939	9763	10764	11859	12865	12802	13008	12961	16032	17211	8592	5192	4698	4527	1604
2호선	양천구	신정네거리	55124	57206	30803	22202	21637	23223	23836	22508	25686	30423	40263	58253	44766	24425	21194	22249	9719
2호선	마포구	신촌	66749	122755	113867	79146	80976	91122	100995	95561	99653	112291	146904	176876	117383	86432	94186	96697	23409
2호선	마포구	아현	40035	60119	32364	24402	23377	25488	26260	25164	27777	37890	39575	51969	36345	22949	22023	22143	7968
2호선	양천구	양천구청	37925	38785	19792	14041	13396	15537	15308	14091	15917	18879	25914	37297	28983	16164	14457	15174	7670
2호선	강남구	역삼	142237	352154	285639	119774	89759	86553	101582	101361	111016	131796	226213	330277	169328	92594	92663	76587	16531
2호선	영등포구	영등포구청	77535	170898	84075	48544	45660	48682	51647	50924	52214	62867	87249	159938	71077	44627	45200	42338	12211
2호선	성동구	왕십리	38093	70658	43910	31018	30941	35720	37583	37481	40088	49261	63461	87866	53966	37965	42540	48955	12911
2호선	성동구	용답	8868	15277	9009	6677	6477	6919	7899	7240	7960	9626	10529	13112	8720	5645	6107	6854	2636
2호선	동대문구	용두	6834	14439	7422	6257	7031	6554	7394	7645	7949	8184	8749	13220	7901	4151	4160	3314	1335
2호선	중구	을지로3가	67855	160725	75457	37732	35408	35922	40996	42101	44232	51776	93082	154091	62754	38973	46222	44246	5950
2호선	중구	을지로4가	36026	84001	47058	30169	30802	30082	32550	34205	36400	37557	59435	79532	36545	18254	16210	13659	3071
2호선	중구	을지로입구	122601	297724	147639	73350	72254	68751	77711	78142	84269	95874	168740	274102	114568	92734	65899	54100	8429
2호선	마포구	이대	32215	58696	45656	31001	29322	35581	40615	35041	35739	42709	54981	62247	42040	28361	29741	28991	10394
2호선	송파구	잠실	179658	306964	230151	147752	148249	157544	169851	170043	183119	215780	287056	395412	256413	194256	174451	169754	40078
2호선	송파구	잠실나루	60182	81048	50480	36854	33605	37852	36256	35890	37564	43624	54888	68194	42073	26384	23803	25186	7850
2호선	송파구	잠실새내	69478	95879	68762	46580	46013	50928	53510	53439	58622	70046	84540	116259	81589	52339	51640	58239	15246
2호선	송파구	종합운동장	28612	45017	26240	18396	15711	18875	21029	18161	22514	27911	38018	49126	25690	17659	25516	24173	4997
2호선	서대문구	충정로	36297	80296	40176	21563	19787	20730	23802	22232	23335	27378	39501	67459	30224	18666	18830	19024	5205
2호선	성동구	한양대	16610	49546	39780	26837	21619	27051	28711	26005	23151	28997	40451	39592	20424	14256	15686	15065	5462
2호선	마포구	합정	74604	143898	107307	63387	63243	70884	80437	79767	81709	95990	131809	210137	135924	83002	92966	97216	23719
2호선	마포구	홍대입구	90887	168174	147469	101204	110456	137993	158416	159203	171079	198211	247971	323496	225991	158279	188114	196847	41039
3호선	송파구	가락시장	30598	52028	29191	22619	22425	22618	23818	24379	26190	29582	35803	51990	28362	19027	16988	15815	4658
3호선	종로구	경복궁	55320	124502	66390	43590	42621	44713	49332	50589	53473	65008	84949	125106	59403	42260	44408	33204	6317
3호선	송파구	경찰병원	30019	55950	28156	19508	15781	15486	17671	17030	17426	18599	27067	41552	23690	15460	13401	12247	4019
3호선	서초구	고속터미널	66231	105604	125979	115237	130418	136142	144265	153293	161991	173185	196936	222989	159758	144426	96599	68313	19142
3호선	서초구	교대	27024	60661	41994	25367	22900	24461	27415	29090	29929	34121	51531	80850	34920	24206	26477	29277	3864
3호선	은평구	구파발	107101	106508	64631	50427	46665	49323	47940	48578	53283	62850	72545	95904	75233	45098	40562	37965	18236
3호선	성동구	금호	31457	43831	28174	19674	18074	19567	20501	19671	21947	24416	31252	41907	29526	20087	17170	19133	5199
3호선	서초구	남부터미널	83836	195538	106998	71826	62152	66936	71909	72831	78053	89630	126845	191527	97576	61217	55694	45087	10850
3호선	은평구	녹번	70378	90740	48346	32257	28089	29611	28906	28160	29266	37936	47044	73359	57512	34122	30321	30730	12244
3호선	강남구	대청	41376	55452	27091	20604	18442	20444	20963	21566	25761	33953	38125	50932	31461	20149	17922	19539	6721
3호선	강남구	대치	42523	47614	30284	22634	21352	26259	29354	28032	31279	38284	46434	53251	39131	23388	24610	36564	6384
3호선	강남구	도곡	23889	32661	22214	12998	11938	12733	13633	13536	15766	18777	23884	28497	17980	10859	9849	9934	2437
3호선	서대문구	독립문	30962	39555	26887	25185	21998	22142	22236	22644	23418	27233	27985	33185	21204	13001	11734	11304	4118
3호선	중구	동대입구	18765	54887	31695	22057	20470	20158	22887	23615	22398	27588	47370	45769	22949	14594	17232	17310	3438
3호선	강남구	매봉	38296	87921	53023	24702	22614	22560	24247	24418	27232	31275	51513	87686	39185	22843	23478	20088	4801
3호선	서대문구	무악재	17477	22512	12532	9742	8600	8683	9110	8710	9511	11515	15126	20967	15428	9447	8187	8636	3625
3호선	은평구	불광	61667	92153	62767	47419	43321	45990	49128	48224	51838	55893	64666	85955	63420	39512	33427	32050	12408
3호선	강남구	수서	65370	93758	56845	45459	36861	46485	44290	39497	50757	60326	72251	96460	57674	43494	32823	34958	9414
3호선	강남구	신사	54398	131397	149534	82824	64888	69158	76218	81689	85493	97714	133949	202515	126331	72002	84359	77691	9908
3호선	종로구	안국	96336	105015	62899	42023	44826	47944	51828	54950	59192	68027	111576	119061	50852	35312	33832	23134	4091
3호선	강남구	압구정	59483	156979	172208	92994	79425	77372	84207	89265	89484	103331	134594	185137	123747	83973	68311	55145	8580
3호선	중구	약수	40600	71197	45149	31412	29430	31240	32717	32641	34349	41588	50503	72209	43192	30430	29652	29345	7847
3호선	서초구	양재	140478	284154	157333	80765	72878	72348	83090	81097	88960	105969	175060	274065	136922	85505	81658	68575	14603
3호선	은평구	연신내	155551	189792	118057	86842	84220	90532	91136	88029	98840	116400	130489	180147	152380	88200	84583	83123	35844
3호선	송파구	오금	30178	42051	19890	12398	10783	12352	12952	10870	12968	15549	22400	31119	20149	12507	11080	12465	4363
3호선	성동구	옥수	31722	44944	28942	22361	21414	23879	25484	25249	28775	32643	40249	51419	36513	23852	21495	22836	6659
3호선	중구	을지로3가	34113	79097	35830	19294	18484	19244	21029	21724	22922	26029	46919	78614	33050	19032	20416	18091	2639
3호선	강남구	일원	51384	46294	31426	28442	25318	26411	27665	26169	29896	34480	44595	35077	24261	15030	13117	14194	4313
3호선	서초구	잠원	18828	25082	15741	10679	11110	12548	13282	12591	13850	16481	20256	24650	16665	10316	10309	11220	2896
3호선	종로구	종로3가	16815	47427	48317	33674	29497	29732	29506	31072	31640	32036	42389	64501	39973	19152	21897	17070	3336
3호선	중구	충무로	0	1	2	0	3	0	2	1	1	2	3	4	4	4	0	4	2
3호선	강남구	학여울	7086	11851	7998	7068	6363	7255	7801	7981	8592	8793	10472	11355	6252	3838	3455	3339	1010
3호선	서대문구	홍제	73406	93049	59817	45335	40390	44733	44234	43769	48496	55841	65628	85612	63481	38459	34338	31902	12952
