구,업종,수
중랑구,가정/주방/인테리어,355
성북구,가정/주방/인테리어,305
강북구,가정/주방/인테리어,220
도봉구,가정/주방/인테리어,286
노원구,가정/주방/인테리어,322
은평구,가정/주방/인테리어,303
서대문구,가정/주방/인테리어,167
마포구,가정/주방/인테리어,203
양천구,가정/주방/인테리어,245
강서구,가정/주방/인테리어,317
구로구,가정/주방/인테리어,296
금천구,가정/주방/인테리어,247
영등포구,가정/주방/인테리어,368
동작구,가정/주방/인테리어,200
관악구,가정/주방/인테리어,328
서초구,가정/주방/인테리어,414
강남구,가정/주방/인테리어,585
송파구,가정/주방/인테리어,363
강동구,가정/주방/인테리어,315
종로구,선물/팬시/기념품,153
중구,선물/팬시/기념품,171
용산구,선물/팬시/기념품,97
성동구,선물/팬시/기념품,55
광진구,선물/팬시/기념품,129
동대문구,선물/팬시/기념품,74
중랑구,선물/팬시/기념품,49
성북구,선물/팬시/기념품,83
강북구,선물/팬시/기념품,48
도봉구,선물/팬시/기념품,53
노원구,선물/팬시/기념품,79
은평구,선물/팬시/기념품,71
서대문구,선물/팬시/기념품,87
마포구,선물/팬시/기념품,118
양천구,선물/팬시/기념품,84
강서구,선물/팬시/기념품,113
구로구,선물/팬시/기념품,71
금천구,선물/팬시/기념품,40
영등포구,선물/팬시/기념품,130
동작구,선물/팬시/기념품,62
관악구,선물/팬시/기념품,67
서초구,선물/팬시/기념품,490
강남구,선물/팬시/기념품,346
송파구,선물/팬시/기념품,105
강동구,선물/팬시/기념품,111
종로구,사무/문구/컴퓨터,199
중구,사무/문구/컴퓨터,183
용산구,사무/문구/컴퓨터,660
성동구,사무/문구/컴퓨터,96
광진구,사무/문구/컴퓨터,243
동대문구,사무/문구/컴퓨터,144
중랑구,사무/문구/컴퓨터,101
성북구,사무/문구/컴퓨터,133
강북구,사무/문구/컴퓨터,70
도봉구,사무/문구/컴퓨터,100
노원구,사무/문구/컴퓨터,130
은평구,사무/문구/컴퓨터,98
서대문구,사무/문구/컴퓨터,101
마포구,사무/문구/컴퓨터,134
양천구,사무/문구/컴퓨터,89
강서구,사무/문구/컴퓨터,122
구로구,사무/문구/컴퓨터,161
금천구,사무/문구/컴퓨터,105
영등포구,사무/문구/컴퓨터,184
동작구,사무/문구/컴퓨터,66
관악구,사무/문구/컴퓨터,96
서초구,사무/문구/컴퓨터,252
강남구,사무/문구/컴퓨터,439
송파구,사무/문구/컴퓨터,140
